advertiser_name,vertical
Paramount Home Entertainment,Life & Entertainment
Viasox,"Apparel, Footwear, and Accessories"
USA Vein Clinics,Pharmaceutical & Medical
Reliance Medicare Helpline,Insurance
Alien Seal Spray,Home & Garden
Alien Tape,Home & Garden
Meow Mix,Pets
Harrelson's Own,Health & Beauty
Trammell PC,"Business, Finance, Legal, and Logistics"
Casamigos,Food & Beverage
Giving Kitchen,"Government, Politics, and Social Concerns"
General Steel,Retail Stores
Nordic Naturals,Health & Beauty
ADP,"Business, Finance, Legal, and Logistics"
Carpet & Tile Mart,Home & Garden
American Civil Liberties Union (ACLU),"Government, Politics, and Social Concerns"
"Little, Brown and Company",Life & Entertainment
FYI Network,Life & Entertainment
iFlo,Home & Garden
Universal Pictures Home Entertainment,Life & Entertainment
SunSetter,Home & Garden
Good Ranchers,Food & Beverage
7-Eleven,Food & Beverage
7-Eleven,Retail Stores
7-Eleven,"Business, Finance, Legal, and Logistics"
7-Eleven,Life & Entertainment
The University of Alabama,Education
Aspire TV,Life & Entertainment
Replenza,Health & Beauty
The Creosote Sweeping Log (CSL),Home & Garden
Country Music Television (CMT),Life & Entertainment
Society for Human Resource Management (SHRM),"Business, Finance, Legal, and Logistics"
Borgata Online,Life & Entertainment
Doctronic,Electronics & Communication
Opdivo + Yervoy,Pharmaceutical & Medical
Perelel,Health & Beauty
Crash Proof Retirement,"Business, Finance, Legal, and Logistics"
Crash Proof Retirement,Life & Entertainment
HomeSafe,Insurance
HomeSafe,Home & Garden
Hardee’s,Restaurants
Uber,"Vehicles Parts, Supplies, and Services"
Uber,Restaurants
Uber,"Government, Politics, and Social Concerns"
Uber,Travel
Quo,"Business, Finance, Legal, and Logistics"
K&G Fashion Superstore,Retail Stores
Horsepower,Electronics & Communication
Horsepower,Home & Garden
GolfNow,Life & Entertainment
Warner Bros. Discovery,"Government, Politics, and Social Concerns"
Warner Bros. Discovery,Life & Entertainment
Metagenics,Health & Beauty
Truist Financial,"Business, Finance, Legal, and Logistics"
Truist Financial,Life & Entertainment
Del Webb,Home & Garden
A.J. Perri,Home & Garden
Cisco,Electronics & Communication
KitchenAid,Electronics & Communication
KitchenAid,Home & Garden
Titleist,Life & Entertainment
GenStone,Home & Garden
Today,Life & Entertainment
BDO,"Business, Finance, Legal, and Logistics"
PC Matic,Electronics & Communication
Silversea Cruises,Travel
Michael Todd Beauty,Health & Beauty
The Cushion Lab,Home & Garden
One Medical,Pharmaceutical & Medical
Ark Encounter,Travel
California Psychics,Health & Beauty
California Psychics,Life & Entertainment
OmniWatch,Electronics & Communication
BODi,Health & Beauty
BODi,Life & Entertainment
ABCmouse.com,Education
PGA Tour,Life & Entertainment
Saltz Mongeluzzi & Bendesky,"Business, Finance, Legal, and Logistics"
Stanton Optical,Pharmaceutical & Medical
The Barnes Firm,"Business, Finance, Legal, and Logistics"
Riverbend Ranch,Food & Beverage
YMCA,"Government, Politics, and Social Concerns"
Bioniq,Health & Beauty
Vuelosymas.com,Travel
Medicare Advantage,Insurance
The Benefits Network,Pharmaceutical & Medical
Visit Washington,Travel
Sonia Friedman Productions,Life & Entertainment
Woof,Pets
Ceramax Pot,Home & Garden
Blackstone,"Business, Finance, Legal, and Logistics"
Blackstone,Home & Garden
Doggie Hush,Pets
Rotten Tomatoes,Life & Entertainment
American Edge Project,"Government, Politics, and Social Concerns"
KitchenSaver,Home & Garden
Jazwares,Life & Entertainment
Jazwares,Pets
Pretzel Crisps,Food & Beverage
Teva USA,Pharmaceutical & Medical
Court TV,Life & Entertainment
Eskiin,Home & Garden
Häagen-Dazs,Food & Beverage
Publix,Retail Stores
Worthy,Retail Stores
Pacaso,"Business, Finance, Legal, and Logistics"
Myomo,Pharmaceutical & Medical
ShopRite,Retail Stores
ShopRite,Food & Beverage
Simply Spiked Lemonade,Food & Beverage
City Year,"Government, Politics, and Social Concerns"
Signature Hardware,Retail Stores
Sprouts Farmers Market,Retail Stores
IFC Films,Life & Entertainment
Hasbro,Life & Entertainment
Hasbro,Pets
Pattern Beauty,Health & Beauty
UP Faith & Family,Life & Entertainment
VKTRY,"Apparel, Footwear, and Accessories"
Idaho Potatoes,Food & Beverage
Grow Therapy,Pharmaceutical & Medical
Titanium Edge,Health & Beauty
Snug Plug,Electronics & Communication
Under Armour,"Apparel, Footwear, and Accessories"
Cartoon Network,Life & Entertainment
Gundry MD,Health & Beauty
Kinder,Food & Beverage
Kinder,Life & Entertainment
Fontainebleau Las Vegas,Travel
Good 'n' Fun,Pets
nick@nite,Life & Entertainment
Shinesty,"Apparel, Footwear, and Accessories"
JB's Fantastic Finds,Retail Stores
Live! Casino and Hotel Philadelphia,Travel
InstaSeal,Home & Garden
FOX Sports,Life & Entertainment
Mack Weldon,Retail Stores
Chevron,"Vehicles Parts, Supplies, and Services"
Chevron,Life & Entertainment
Barclays,"Business, Finance, Legal, and Logistics"
Optimum,Electronics & Communication
Carl's Jr.,Restaurants
Carl's Jr.,Life & Entertainment
Fandango at Home,Life & Entertainment
New York State,"Government, Politics, and Social Concerns"
Avocados From Mexico,Food & Beverage
Stamps.com,Retail Stores
Hennion & Walsh,"Business, Finance, Legal, and Logistics"
Manscaped,Health & Beauty
Manscaped,"Apparel, Footwear, and Accessories"
Los Defensores,"Business, Finance, Legal, and Logistics"
Pepper,"Apparel, Footwear, and Accessories"
National Park Foundation,"Government, Politics, and Social Concerns"
Hispanic Scholarship Fund,"Government, Politics, and Social Concerns"
AutoNation,"Vehicles Parts, Supplies, and Services"
University of Texas at Austin,Education
U.S. Air Force,"Government, Politics, and Social Concerns"
Trex,Home & Garden
Royal Bank Of Canada (RBC),"Business, Finance, Legal, and Logistics"
Patriot Mobile,Electronics & Communication
Emerald Cruises,Travel
Johnston & Murphy,"Apparel, Footwear, and Accessories"
Johnston & Murphy,Apparel / Footwear / Accessories
3 Day Blinds,Home & Garden
New York Lottery,Life & Entertainment
GOLFPASS,Life & Entertainment
Golden Nugget Casino,Life & Entertainment
Hiya,Health & Beauty
Immuno 150,Health & Beauty
NCAA Atlantic Coast Conference Football (ACC),Life & Entertainment
NONYX,Health & Beauty
Firestone,"Vehicles Parts, Supplies, and Services"
"Kline & Specter, PC","Business, Finance, Legal, and Logistics"
Tourism Ireland,Travel
Medicare Benefits,Insurance
Rosland Capital,"Business, Finance, Legal, and Logistics"
Shop LC,Retail Stores
Shop LC,"Apparel, Footwear, and Accessories"
Credible,"Business, Finance, Legal, and Logistics"
GentleCure,Pharmaceutical & Medical
Ferguson,"Business, Finance, Legal, and Logistics"
University of Michigan,Education
NAPA Auto Parts,"Vehicles Parts, Supplies, and Services"
NAPA Auto Parts,Home & Garden
Donnelly's,Home & Garden
Nutrisystem,Food & Beverage
Nutrisystem,Health & Beauty
Nutrisystem,Electronics & Communication
Nutrisystem,Life & Entertainment
Kaiser Permanente,Life & Entertainment
Kaiser Permanente,Insurance
Auto-Owners Insurance,Insurance
Zaxby’s,Restaurants
American Eagle,Retail Stores
American Eagle,"Business, Finance, Legal, and Logistics"
MyNetworkTV,Life & Entertainment
MyNetworkTV,Entertainment / Media / Leisure
WHOOP,"Apparel, Footwear, and Accessories"
WHOOP,Electronics & Communication
iMemories,"Business, Finance, Legal, and Logistics"
Holland America Line,Travel
Huntington,"Business, Finance, Legal, and Logistics"
Rho Nutrition,Health & Beauty
CNBC+,Life & Entertainment
Deloitte,"Business, Finance, Legal, and Logistics"
SafeAuto,Insurance
Victoza,Pharmaceutical & Medical
Jacoby & Meyers,"Business, Finance, Legal, and Logistics"
Weitz & Luxenberg,"Business, Finance, Legal, and Logistics"
Kalahari Resorts & Conventions,Life & Entertainment
Kalahari Resorts & Conventions,Travel
Square,"Business, Finance, Legal, and Logistics"
Arthritis Knee Pain Centers,Pharmaceutical & Medical
Goliath,Life & Entertainment
Dabl,Life & Entertainment
The Consumer Helpline,"Business, Finance, Legal, and Logistics"
Lehigh Valley Honda,"Vehicles Parts, Supplies, and Services"
AppLights Permanent,Home & Garden
Quality 1st,Home & Garden
Diageo,Food & Beverage
HubSpot,"Business, Finance, Legal, and Logistics"
Leukemia & Lymphoma Society,"Government, Politics, and Social Concerns"
AppLights PERMANENT,Home & Garden
FOX Business,Life & Entertainment
"Love, Your Mind","Government, Politics, and Social Concerns"
SILAC,Insurance
Toyota Gazoo Racing,Vehicles Manufacturers
Toyota Gazoo Racing,Life & Entertainment
TV Land,Life & Entertainment
GOLO,Health & Beauty
Hillsdale College,Education
Carpe,Health & Beauty
CleanBoss,Health & Beauty
CleanBoss,Pharmaceutical & Medical
CleanBoss,Home & Garden
FirstNet,"Government, Politics, and Social Concerns"
McLaren,Vehicles Manufacturers
Nescafé,Food & Beverage
Philadelphia Flyers,Education
Philadelphia Flyers,Life & Entertainment
Gem Shopping Network,Retail Stores
Brux Night Guard,Pharmaceutical & Medical
Hempvana,Health & Beauty
Hempvana,Pharmaceutical & Medical
Living Spaces,Retail Stores
OLIPOP,Food & Beverage
Socket Fan,Home & Garden
PBZ OTC,Pharmaceutical & Medical
Henry,Pharmaceutical & Medical
Dollar General Literacy Foundation,Education
One Nation,"Government, Politics, and Social Concerns"
Wheel of Fortune,Life & Entertainment
Atlantic Coast Conference,Life & Entertainment
Pinterest,Life & Entertainment
Sight & Sound Theatres,Life & Entertainment
MD Anderson Cancer Center,Government / Organizations
MD Anderson Cancer Center,Pharmaceutical & Medical
Hallmark Mystery,Life & Entertainment
True Crime Network,Life & Entertainment
ONEFlight International,Travel
Primal Queen,Health & Beauty
Neurohacker Collective,Health & Beauty
Bristol-Myers Squibb,Pharmaceutical & Medical
Bigelow,Food & Beverage
St. Pete-Clearwater,Travel
Brighthouse Financial,"Business, Finance, Legal, and Logistics"
Brighthouse Financial,Insurance
University of Georgia,Education
Perkins,Restaurants
University of Oklahoma (OU),Education
Carpet One Floor & Home,Retail Stores
Gibbon,Life & Entertainment
ABC News Live,Life & Entertainment
Ross-Simons,Retail Stores
Ross-Simons,"Apparel, Footwear, and Accessories"
Interactive Brokers (IBKR),"Business, Finance, Legal, and Logistics"
Interactive Brokers (IBKR),Life & Entertainment
Lucid Motors,Vehicles Manufacturers
Tonal,Electronics & Communication
FX on Hulu,Life & Entertainment
ACC Network (ACCN),Life & Entertainment
Tax Relief Today,"Business, Finance, Legal, and Logistics"
Injury Help Center,"Business, Finance, Legal, and Logistics"
Lincoln Heritage Funeral Advantage,Insurance
Howard Capital Management,"Business, Finance, Legal, and Logistics"
BQ Basements & Concrete,Home & Garden
MLB.TV,Life & Entertainment
FreedomCare New York,Pharmaceutical & Medical
Waste Management,Energy & Power
Waste Management,Life & Entertainment
Waste Management,Home & Garden
Angel Ride,"Vehicles Parts, Supplies, and Services"
Lumineux,Health & Beauty
Carhartt,"Apparel, Footwear, and Accessories"
Culture POP Soda,Food & Beverage
Donors Choose Organization,"Government, Politics, and Social Concerns"
Solgaard,Retail Stores
Centro de Ayuda Legal,"Business, Finance, Legal, and Logistics"
Plantur 39,Health & Beauty
Ritz-Carlton,Travel
Blue-Emu,Pharmaceutical & Medical
DIME Beauty Co,Health & Beauty
Portkey Games,Life & Entertainment
Sharper Image,Retail Stores
Sharper Image,Electronics & Communication
Sharper Image,Life & Entertainment
Sharper Image,Pets
Sharper Image,Home & Garden
NewYork-Presbyterian Hospital,Pharmaceutical & Medical
crypto.com,"Business, Finance, Legal, and Logistics"
Black Bear Pictures,Life & Entertainment
Turning Point with Dr. David Jeremiah,Life & Entertainment
Paris Baguette,Food & Beverage
DebtPros,"Business, Finance, Legal, and Logistics"
Yoplait,Food & Beverage
Wonderskin,Health & Beauty
Zephyr,Pharmaceutical & Medical
Dementia Society of America,"Government, Politics, and Social Concerns"
Tournament Players Club (TPC),Life & Entertainment
Tea Forté,Food & Beverage
Prime,Food & Beverage
Prime,Life & Entertainment
Grill Rescue,"Government, Politics, and Social Concerns"
Grill Rescue,Home & Garden
National Association of Broadcasters,"Government, Politics, and Social Concerns"
Kim Crawford,Food & Beverage
Whataburger,Restaurants
Whataburger,Electronics & Communication
Orlando,Travel
Ferguson Home,Home & Garden
American Prosperity Alliance (APA),"Government, Politics, and Social Concerns"
Valero,"Vehicles Parts, Supplies, and Services"
Federal Emergency Management Agency (FEMA),"Government, Politics, and Social Concerns"
Federal Emergency Management Agency (FEMA),Life & Entertainment
Activia,Food & Beverage
RoboSeal,Home & Garden
Command,Home & Garden
DR Power Equipment,Home & Garden
Cosmo,"Apparel, Footwear, and Accessories"
Mugsy,"Apparel, Footwear, and Accessories"
Discovery Family,Life & Entertainment
Stifel,"Business, Finance, Legal, and Logistics"
Seize The Awkward,Pharmaceutical & Medical
Cozi TV,Life & Entertainment
Stella Rosa Wines,Food & Beverage
Tractor Supply Co.,Retail Stores
Tractor Supply Co.,Life & Entertainment
Sculptra,Health & Beauty
Heroes & Icons (H&I),Retail Stores
Heroes & Icons (H&I),Life & Entertainment
NASCAR,Life & Entertainment
Grit,Life & Entertainment
Canyon Spirit,Travel
NextGen TV,Electronics & Communication
Cerveza Victoria,Food & Beverage
My Medic,Pharmaceutical & Medical
GE Aerospace,"Business, Finance, Legal, and Logistics"
Latham Pool,Home & Garden
Monarch,Electronics & Communication
The Economist,Life & Entertainment
Handy Heater,Home & Garden
Callaway,Retail Stores
Callaway,Life & Entertainment
Alaya Naturals,Health & Beauty
Safe Ship Moving Services,Home & Garden
Savage X Fenty,"Apparel, Footwear, and Accessories"
Army National Guard,"Government, Politics, and Social Concerns"
Bailey Cowan Heckaman PLLC,"Business, Finance, Legal, and Logistics"
Cigna,Insurance
Toyo Tires,"Vehicles Parts, Supplies, and Services"
FightMyCase,"Business, Finance, Legal, and Logistics"
FOX 5 New York,Life & Entertainment
Rally House,Retail Stores
Arena Club,Retail Stores
Corient,"Business, Finance, Legal, and Logistics"
Incredible Inventions,Retail Stores
Incredible Inventions,Life & Entertainment
Incredible Inventions,Home & Garden
PlanEnroll,Pharmaceutical & Medical
Bug-A-Salt,Life & Entertainment
Bug-A-Salt,Home & Garden
Showtime,Life & Entertainment
Showtime,Entertainment / Media / Leisure
Melin,"Apparel, Footwear, and Accessories"
Conicelli Honda,"Vehicles Parts, Supplies, and Services"
AirDoctor,Home & Garden
Mortgage Modification Helpline,"Business, Finance, Legal, and Logistics"
Rome Bath Remodeling,Home & Garden
Hollow Socks,"Apparel, Footwear, and Accessories"
Nick Jr.,Life & Entertainment
Nick Jr.,Electronics & Communication
Tonies,Life & Entertainment
LowCostAirLines,Travel
Pedialyte,Food & Beverage
Pedialyte,Health & Beauty
Pedialyte,Pharmaceutical & Medical
Samaritan's Purse,"Government, Politics, and Social Concerns"
Horsepower Bull Shot,Home & Garden
Linkedin,Careers Services
Lingo,Pharmaceutical & Medical
Harvest Hosts,Travel
NBC Universal,"Government, Politics, and Social Concerns"
NBC Universal,Life & Entertainment
NBC Universal,Electronics & Communication
Precision Door Service,Home & Garden
Cesar,Pets
BetRivers,Life & Entertainment
New York State Smokers' Quitline,"Government, Politics, and Social Concerns"
MedicareAdvantage,Insurance
Megababe,Health & Beauty
Megababe,Cosmetic / Hygiene
Kizik,"Apparel, Footwear, and Accessories"
Neuman for Superior Court,"Government, Politics, and Social Concerns"
The Walt Disney Company,"Business, Finance, Legal, and Logistics"
The Walt Disney Company,Life & Entertainment
Boot Barn,Retail Stores
TD Bank,"Business, Finance, Legal, and Logistics"
Plunge,Home & Garden
Mizuho Americas,"Business, Finance, Legal, and Logistics"
Capital One Bowl Mania,Life & Entertainment
University of Miami (UOM),Education
Peco,Energy & Power
1800 Tequila,Food & Beverage
Dr. ColorChip,"Vehicles Parts, Supplies, and Services"
TaylorMade,Life & Entertainment
Nello,Health & Beauty
Lumen,Electronics & Communication
Disney Parks & Resorts,Travel
Buffalo Trace Distillery,Food & Beverage
CBIZ,"Business, Finance, Legal, and Logistics"
Fay,Health & Beauty
Inspired Closets,Home & Garden
Dave Thomas Foundation for Adoption,"Government, Politics, and Social Concerns"
Scopely,Life & Entertainment
Liver Health Formula,Health & Beauty
Pretzels.com,Food & Beverage
HarperCollins Publishers,Life & Entertainment
American Diabetes Association,"Government, Politics, and Social Concerns"
21st Century Cyber Charter School (21CCCS),Education
Tempo,Food & Beverage
Tempo,Health & Beauty
UNCF,"Government, Politics, and Social Concerns"
The Reset Addiction Treatment Helpline,Pharmaceutical & Medical
Hill's,Pets
The Because Market,Health & Beauty
MarketPro Homebuyers,"Business, Finance, Legal, and Logistics"
Building America's Future,"Government, Politics, and Social Concerns"
Prenuvo,Health & Beauty
Prenuvo,Pharmaceutical & Medical
Southern Poverty Law Center,"Government, Politics, and Social Concerns"
Youth on Course,"Government, Politics, and Social Concerns"
Wisconsin Cheese,Food & Beverage
Ciattarelli for NJ Governor,"Government, Politics, and Social Concerns"
Nat Geo Wild,Life & Entertainment
Nat Geo Wild,Entertainment / Media / Leisure
Aura App,Life & Entertainment
Jr. NBA,Life & Entertainment
Rid-X,Home & Garden
Regions Bank,"Business, Finance, Legal, and Logistics"
52 Pills,Pharmaceutical & Medical
Johnsonville,Food & Beverage
Johnsonville,Home & Garden
Owl Labs,Electronics & Communication
Ireland,Travel
The Triple Option,Life & Entertainment
Propane Education and Research Council,"Government, Politics, and Social Concerns"
PGA Tour Fan Shop,Retail Stores
Japan Airlines,Travel
Franklin Templeton Investments,"Business, Finance, Legal, and Logistics"
Autism Speaks,"Government, Politics, and Social Concerns"
DerMend,Health & Beauty
Athleta,"Apparel, Footwear, and Accessories"
Fred Meyer Jewelers,Retail Stores
Homecoming 250,"Government, Politics, and Social Concerns"
Stop Texts Stop Wrecks,"Government, Politics, and Social Concerns"
UPS,"Business, Finance, Legal, and Logistics"
BullsEye Blower,Home & Garden
Charles Payne's Master Class,"Business, Finance, Legal, and Logistics"
Lodge Cast Iron,Retail Stores
Lodge Cast Iron,Home & Garden
Red Land Cotton,Home & Garden
Happy Head,Health & Beauty
Gateway Kia,"Vehicles Parts, Supplies, and Services"
Closet Factory,Home & Garden
TCL,Electronics & Communication
TCL,Electronics / Technology
Jimmy Dean,Food & Beverage
Dorot Gardens,Food & Beverage
DuckDuckGo,Electronics & Communication
SmartMouth,Health & Beauty
Zurich,"Government, Politics, and Social Concerns"
Zurich,Insurance
Ronald McDonald House Charities,"Government, Politics, and Social Concerns"
Teach.org,"Government, Politics, and Social Concerns"
Memorial Sloan Kettering Cancer Center,Pharmaceutical & Medical
Achieve Health Management,Pharmaceutical & Medical
Delta Faucet,Retail Stores
Delta Faucet,Electronics & Communication
Delta Faucet,Home & Garden
Tukol,Pharmaceutical & Medical
Golf Galaxy,Retail Stores
Golf Galaxy,Life & Entertainment
Discover The Palm Beaches,Travel
Reelz,Life & Entertainment
Northwell Health,Pharmaceutical & Medical
Nolan Painting,Home & Garden
Value City Furniture,Retail Stores
Positive Coaching Alliance,"Government, Politics, and Social Concerns"
Husqvarna,Home & Garden
CRF USA,"Government, Politics, and Social Concerns"
Disney XD,Life & Entertainment
Southeastern Conference (SEC Network),Life & Entertainment
Children's Rehabilitation Institute TeletonUSA,Pharmaceutical & Medical
Timeshare Exit Hotline,"Business, Finance, Legal, and Logistics"
U.S. Soccer,"Government, Politics, and Social Concerns"
U.S. Soccer,Life & Entertainment
MGM+,Life & Entertainment
MGM+,Entertainment / Media / Leisure
South University,Education
Thorne,Health & Beauty
"Premier Disability Services, LLC","Business, Finance, Legal, and Logistics"
& Juliet,Life & Entertainment
Cirque du Soleil,Life & Entertainment
Veteran Car Donations,"Government, Politics, and Social Concerns"
Dolce & Gabbana,Health & Beauty
Arbor Day Foundation,"Government, Politics, and Social Concerns"
Nemacolin Woodlands Resort,Travel
Origin Investments,"Business, Finance, Legal, and Logistics"
GreatCall,Electronics & Communication
GreatCall,Pharmaceutical & Medical
H-E-B,Retail Stores
Scotch Brand,Home & Garden
Jefferson Health,Pharmaceutical & Medical
Lone Star Freedom Project,"Government, Politics, and Social Concerns"
Lone Star Freedom Project,Government / Organizations
MISTPLAY: Play to Earn Money,Life & Entertainment
Private Healthcare,Insurance
High Point University,Education
Rosetta Stone,Electronics & Communication
Blenders Eyewear,"Apparel, Footwear, and Accessories"
Blenders Eyewear,Apparel / Footwear / Accessories
EGO,Home & Garden
Culligan Water,Energy & Power
Culligan Water,Home & Garden
Keebler,Food & Beverage
Tamron Hall,Retail Stores
Tamron Hall,Life & Entertainment
Taco Bell Foundation,"Government, Politics, and Social Concerns"
Ferrell Law Group,"Business, Finance, Legal, and Logistics"
University of Oregon,Education
Nassau Financial Group,"Business, Finance, Legal, and Logistics"
PrimoHoagies,Restaurants
Tax Relief Advocates,"Business, Finance, Legal, and Logistics"
Pedigree,Pets
Treasure Island Hotel & Casino,Travel
Heifer International,"Government, Politics, and Social Concerns"
"Yes on 50, The Election Rigging Response Act","Government, Politics, and Social Concerns"
HSS,Pharmaceutical & Medical
J.D. Mellberg,"Business, Finance, Legal, and Logistics"
OluKai,Retail Stores
OluKai,"Apparel, Footwear, and Accessories"
Museum of the Bible,Life & Entertainment
Knightline Legal,"Business, Finance, Legal, and Logistics"
Ty J. Young Wealth Management,"Business, Finance, Legal, and Logistics"
Glen Lerner Injury Attorneys,"Business, Finance, Legal, and Logistics"
Lucid,Automotive / Vehicles
Vote Yes for Fair and Independent Courts,"Government, Politics, and Social Concerns"
Hot Wheels Monster Trucks Live,Life & Entertainment
Anhelo,Insurance
Travelers,Life & Entertainment
Travelers,Insurance
National Cryptocurrency Association (NCA),"Business, Finance, Legal, and Logistics"
iHeartRadio,Life & Entertainment
Junk King,Travel
Goodwill,"Government, Politics, and Social Concerns"
Huntington Ingalls Industries (HII),"Government, Politics, and Social Concerns"
We Buy Any Car,"Vehicles Parts, Supplies, and Services"
In Touch Ministries,Retail Stores
In Touch Ministries,"Government, Politics, and Social Concerns"
In Touch Ministries,Life & Entertainment
Gary Sinise Foundation,"Government, Politics, and Social Concerns"
The Kids Guide,Life & Entertainment
MagniLife,Health & Beauty
MagniLife,Pharmaceutical & Medical
The Dump,Retail Stores
The New York Times,Life & Entertainment
Marines,"Government, Politics, and Social Concerns"
Mahindra,"Business, Finance, Legal, and Logistics"
The University of Mississippi,Education
NetApp,Electronics & Communication
Juniper Networks,Electronics & Communication
Mazola,Food & Beverage
Sell My House Fast,"Business, Finance, Legal, and Logistics"
Conicelli Toyota of Conshohocken,"Vehicles Parts, Supplies, and Services"
Gardasil 9,Pharmaceutical & Medical
Puerto Rico,Travel
Ownerly,"Business, Finance, Legal, and Logistics"
Meijer,Retail Stores
Meijer,Life & Entertainment
Indiana University,Education
Sunday Lawn Care,Home & Garden
EllaOla,Health & Beauty
Governo de Angola,Travel
TitleMax,"Business, Finance, Legal, and Logistics"
Jewelry Television (JTV),Life & Entertainment
Carrier,Home & Garden
Hachette,Life & Entertainment
BCI Bath & Shower,Retail Stores
Filtrete,Life & Entertainment
Filtrete,Home & Garden
Relay,"Business, Finance, Legal, and Logistics"
Relay,Life & Entertainment
LMN (Lifetime Movies Network),Life & Entertainment
National Council for Mental Wellbeing,"Government, Politics, and Social Concerns"
Hallmark Christmas Experience,Life & Entertainment
Glasses USA,"Apparel, Footwear, and Accessories"
Crystal Flush,Pharmaceutical & Medical
Visit Pennsylvania,Travel
Animal Planet,Life & Entertainment
Denver Mattress,Retail Stores
Denver Mattress,Home & Garden
PodriaTenerPrediabetes.org,Pharmaceutical & Medical
Pro Football Hall of Fame,Retail Stores
Pro Football Hall of Fame,"Apparel, Footwear, and Accessories"
Pro Football Hall of Fame,Life & Entertainment
San Diego,Travel
Trump Watches,"Apparel, Footwear, and Accessories"
Guardio,Electronics & Communication
Disney Concerts,Life & Entertainment
Southeastern Guide Dogs,"Government, Politics, and Social Concerns"
Mothers,"Vehicles Parts, Supplies, and Services"
Visit California,Travel
US Open Shop,Retail Stores
Sand Cloud,Home & Garden
Elton John AIDS Foundation,"Government, Politics, and Social Concerns"
Disability Help Today,"Business, Finance, Legal, and Logistics"
Louisiana State University (LSU),Education
United War Veterans Council,"Government, Politics, and Social Concerns"
Club América,Life & Entertainment
University of Tennessee,Education
Alien Grips,Home & Garden
Little League,Life & Entertainment
NYU Langone Health,Pharmaceutical & Medical
QuestChat,Life & Entertainment
Rosenello’s Windows Siding & Roofing,Home & Garden
Craftsman,Retail Stores
Craftsman,Home & Garden
Mistplay,Life & Entertainment
Lear Silver,"Business, Finance, Legal, and Logistics"
4547 Whiskey,Food & Beverage
Markley Rehabilitation and Healthcare Center,Pharmaceutical & Medical
Ideal Agent,"Business, Finance, Legal, and Logistics"
ABC Audio,Life & Entertainment
Christian Home Services,Home & Garden
Greater Garden State,"Government, Politics, and Social Concerns"
Bulova,Retail Stores
Bulova,"Apparel, Footwear, and Accessories"
New York State Department of Health (NYSDOH),"Government, Politics, and Social Concerns"
Jovi.,Health & Beauty
Face the Fight,"Business, Finance, Legal, and Logistics"
Face the Fight,"Government, Politics, and Social Concerns"
Face the Fight,Life & Entertainment
Face the Fight,Insurance
Jabra,Electronics & Communication
Jabra,Pharmaceutical & Medical
Matt Blatt Kia,"Vehicles Parts, Supplies, and Services"
Paysend,"Business, Finance, Legal, and Logistics"
Drexel University,Education
Enterprise Mobility,"Vehicles Parts, Supplies, and Services"
HughesNet,Electronics & Communication
Disney Junior,Life & Entertainment
Disney Junior,Entertainment / Media / Leisure
Furniture Row,Retail Stores
Chopzilla,Home & Garden
Energy Transfer,"Business, Finance, Legal, and Logistics"
RAM,Vehicles Manufacturers
RAM,Automotive / Vehicles
Heights Philadelphia,"Government, Politics, and Social Concerns"
Healthy Directions,Health & Beauty
Guinness,Food & Beverage
Discover the Forest,"Government, Politics, and Social Concerns"
Wax-Rx,Pharmaceutical & Medical
Covered California,"Government, Politics, and Social Concerns"
J.P. Morgan Asset Management,"Business, Finance, Legal, and Logistics"
Local Now,Life & Entertainment
Quicksilver Scientific,Health & Beauty
ALLBLK,Life & Entertainment
Alibaba,"Business, Finance, Legal, and Logistics"
Vivid Seats,Retail Stores
Oliver Wellness Center,Pharmaceutical & Medical
Bad Boy Mowers,Home & Garden
Breast Cancer Research Foundation (BCRF),"Government, Politics, and Social Concerns"
Big O Tires,"Vehicles Parts, Supplies, and Services"
NURX,Health & Beauty
NURX,Pharmaceutical & Medical
Visit Florida,Travel
Hydrow,Health & Beauty
Lear Capital,"Business, Finance, Legal, and Logistics"
Sittercity,Health & Beauty
Blue Diamond Almonds,Food & Beverage
TORO Steel Buildings,"Business, Finance, Legal, and Logistics"
Community Tax,"Business, Finance, Legal, and Logistics"
988 Suicide & Crisis Lifeline,"Government, Politics, and Social Concerns"
CB-1 Weight Gainer,Health & Beauty
IXL,Education
American Athletic Conference,Life & Entertainment
Steel Man Pills,Pharmaceutical & Medical
Scenic,Travel
W & L Subaru,"Vehicles Parts, Supplies, and Services"
Wicked,Life & Entertainment
1Philadelphia,"Government, Politics, and Social Concerns"
The Dominick Hotel,Travel
Veloz,"Government, Politics, and Social Concerns"
Summit Racing Equipment,"Vehicles Parts, Supplies, and Services"
Coach,"Apparel, Footwear, and Accessories"
The Araca Group,Life & Entertainment
Srixon,Life & Entertainment
John Kennedy Subaru,"Vehicles Parts, Supplies, and Services"
USA Insulation,Home & Garden
GE Vernova,"Business, Finance, Legal, and Logistics"
Scout,Vehicles Manufacturers
Aviron,Health & Beauty
Rhode Island,Travel
Beacon Home Services,Home & Garden
U.S. Food and Drug Administration (FDA),"Government, Politics, and Social Concerns"
U.S. Food and Drug Administration (FDA),Pharmaceutical & Medical
California Almonds,Food & Beverage
Everything Breaks,Insurance
Visit Myrtle Beach,Travel
Okta,Electronics & Communication
Substance Abuse and Mental Health Services Administration (SAMHSA),"Government, Politics, and Social Concerns"
Substance Abuse and Mental Health Services Administration (SAMHSA),Life & Entertainment
SCAN Health Plan,Insurance
